elapsed,lag
0.91,11000
1.05,11000
1.19,11000
1.33,11000
1.46,11000
1.59,11000
1.73,11000
1.86,21000
1.99,21000
2.13,21000
2.26,21000
2.39,21000
2.52,21000
2.66,21000
2.79,21000
2.92,31000
3.05,31000
3.20,31000
3.33,31000
3.46,31000
3.59,31000
3.73,31000
3.86,41000
3.99,41000
4.12,41000
4.27,41000
4.40,41000
4.53,41000
4.66,41000
4.81,41000
4.94,51000
5.08,51000
5.22,51000
5.35,51000
5.48,0
5.61,0
5.75,0
5.88,10000
6.01,10000
6.14,10000
6.29,10000
6.42,10000
6.55,10000
6.68,10000
6.81,10000
6.95,20000
7.08,20000
7.21,20000
7.35,20000
7.48,20000
7.62,20000
7.76,20000
7.89,30000
8.02,30000
8.17,30000
8.30,30000
8.43,30000
8.56,30000
8.69,30000
8.83,30000
8.96,40000
9.10,40000
9.24,40000
9.38,40000
9.51,40000
9.65,40000
9.78,40000
9.91,50000
10.05,50000
10.19,50000
10.32,50000
10.45,0
10.59,0
10.72,0
10.85,8000
10.98,10000
11.12,10000
11.25,10000
11.38,10000
11.52,10000
11.65,10000
11.79,10000
11.92,20000
12.06,20000
12.19,20000
12.32,20000
12.45,20000
12.59,20000
12.72,20000
12.86,30000
13.01,30000
13.15,30000
13.28,30000
13.41,30000
13.55,30000
13.68,30000
13.81,30000
13.95,40000
14.08,40000
14.21,40000
14.35,40000
14.48,40000
14.61,40000
14.74,40000
14.87,50000
15.01,50000
15.14,50000
15.27,50000
15.41,0
15.54,0
15.67,0
15.80,0
15.93,10000
16.07,10000
16.20,10000
16.34,10000
16.47,10000
16.60,10000
16.74,10000
16.87,20000
17.00,20000
17.14,20000
17.27,20000
17.40,20000
17.53,20000
17.67,20000
17.80,20000
17.94,30000
18.08,30000
18.21,30000
18.34,30000
18.47,30000
18.61,30000
18.74,30000
18.87,40000
19.01,40000
19.14,40000
19.28,40000
19.41,40000
19.54,40000
19.68,40000
19.81,40000
19.94,50000
20.08,50000
20.22,50000
20.35,50000
20.49,0
20.62,0
20.75,0
20.88,10000
21.03,10000
21.16,10000
21.30,10000
21.43,10000
21.57,10000
21.71,10000
21.84,17000
21.98,20000
22.12,20000
22.26,20000
22.40,20000
22.53,20000
22.67,20000
22.81,20000
22.94,30000
23.08,30000
23.21,30000
23.35,30000
23.48,30000
23.63,30000
23.77,30000
23.90,40000
24.03,40000
24.17,40000
24.30,40000
24.44,40000
24.58,40000
24.71,40000
24.85,50000
24.99,50000
25.13,50000
25.27,50000
25.40,0
25.53,0
25.66,0
25.80,0
25.93,10000
26.07,10000
26.21,10000
26.35,10000
26.48,10000
26.61,10000
26.75,10000
26.88,20000
27.01,20000
27.14,20000
27.28,20000
27.41,20000
27.54,20000
27.68,20000
27.81,20000
27.95,30000
28.08,30000
28.21,30000
28.35,30000
28.48,30000
28.61,30000
28.74,30000
28.88,40000
29.01,40000
29.14,40000
29.27,40000
29.41,40000
29.54,40000
29.67,40000
29.81,40000
29.94,50000
30.07,50000
30.21,50000
30.35,50000
30.48,0
30.62,0
30.75,0
30.88,10000
31.02,10000
31.15,10000
31.29,10000
31.42,10000
31.56,10000
31.69,10000
31.82,10000
31.95,20000
32.08,20000
32.22,20000
32.35,20000
32.48,20000
32.61,20000
32.75,20000
32.88,30000
33.01,30000
33.15,30000
33.29,30000
33.42,30000
33.55,30000
33.69,30000
33.82,30000
33.95,40000
34.09,40000
34.22,40000
34.35,40000
34.48,40000
34.62,40000
34.75,40000
34.88,50000
35.02,50000
35.15,50000
35.29,50000
35.42,0
35.55,0
35.69,0
35.82,0
35.95,10000
36.08,10000
36.22,10000
36.36,10000
36.50,10000
36.64,10000
36.77,10000
36.91,20000
37.04,20000
37.18,20000
37.31,20000
37.44,20000
37.57,20000
37.71,20000
37.84,23000
37.97,30000
38.11,30000
38.24,30000
38.38,30000
38.51,30000
38.64,30000
38.78,30000
38.91,40000
39.04,40000
39.18,40000
39.32,40000
39.45,40000
39.58,40000
39.71,40000
39.84,43000
39.98,50000
40.11,50000
40.24,50000
