elapsed,lag
0.10,4000
0.27,4000
0.43,4000
0.59,4000
0.75,4000
0.91,4000
1.08,6000
1.25,6000
1.40,6000
1.56,6000
1.73,6000
1.89,6000
2.04,8000
2.19,8000
2.35,8000
2.51,8000
2.66,8000
2.81,8000
2.97,8000
3.12,10000
3.27,10000
3.45,10000
3.60,10000
3.75,10000
3.91,10000
4.07,12000
4.23,12000
4.38,12000
4.53,12000
4.68,12000
4.83,12000
4.98,12000
5.13,2000
5.28,2000
5.43,2000
5.59,2000
5.75,2000
5.91,2000
6.06,4000
6.21,4000
6.36,4000
6.52,4000
6.68,4000
6.83,4000
6.99,4000
7.14,6000
7.29,6000
7.44,6000
7.59,6000
7.76,6000
7.93,6000
8.10,8000
8.25,8000
8.41,8000
8.58,8000
8.75,8000
8.91,8000
9.06,10000
9.22,10000
9.39,10000
9.55,10000
9.72,10000
9.90,10000
10.07,2000
10.22,2000
10.39,2000
10.55,2000
10.72,2000
10.90,2000
11.08,4000
11.24,4000
11.40,4000
11.56,4000
11.72,4000
11.89,4000
12.05,6000
12.21,6000
12.36,6000
12.53,6000
12.69,6000
12.85,6000
13.02,8000
13.18,8000
13.33,8000
13.49,8000
13.65,8000
13.81,8000
13.98,8000
14.13,10000
14.30,10000
14.47,10000
14.63,10000
14.78,10000
14.94,10000
15.10,2000
15.27,2000
15.45,2000
15.63,2000
15.81,2000
15.97,2000
16.12,4000
16.30,4000
16.47,4000
16.63,4000
16.79,4000
16.95,4000
17.11,6000
17.27,6000
17.43,6000
17.59,6000
17.76,6000
17.93,6000
18.09,8000
18.24,8000
18.40,8000
18.56,8000
18.72,8000
18.88,8000
19.06,10000
19.21,10000
19.37,10000
19.53,10000
19.68,10000
19.84,10000
19.99,2000
20.15,2000
20.31,2000
20.47,2000
20.63,2000
20.78,2000
20.94,2000
21.10,4000
21.25,4000
21.41,4000
21.57,4000
21.74,4000
21.90,4000
22.05,6000
22.21,6000
22.37,6000
22.53,6000
22.70,6000
22.86,6000
23.01,8000
23.17,8000
23.32,8000
23.48,8000
23.64,8000
23.81,8000
23.97,8000
24.12,10000
24.28,10000
24.43,10000
24.59,10000
24.74,10000
24.89,10000
25.05,2000
25.20,2000
25.34,2000
25.49,2000
25.64,2000
25.79,2000
25.94,2000
26.09,4000
26.25,4000
26.40,4000
26.55,4000
26.73,4000
26.88,4000
27.03,6000
27.19,6000
27.35,6000
27.50,6000
27.66,6000
27.82,6000
27.99,6000
28.14,8000
28.29,8000
28.44,8000
28.60,8000
28.75,8000
28.90,8000
29.07,10000
29.23,10000
29.39,10000
29.54,10000
29.70,10000
29.85,10000
30.00,2000
30.16,2000
30.32,2000
30.48,2000
30.64,2000
30.80,2000
30.96,2000
31.12,4000
31.28,4000
31.45,4000
31.61,4000
31.77,4000
31.94,4000
32.09,6000
32.25,6000
32.41,6000
32.57,6000
32.73,6000
32.89,6000
33.05,8000
33.21,8000
33.37,8000
33.53,8000
33.69,8000
33.86,8000
34.02,10000
34.17,10000
34.33,10000
34.49,10000
34.65,10000
34.80,10000
34.98,2000
35.14,2000
35.30,2000
35.46,2000
35.62,2000
35.78,2000
35.94,2000
36.10,4000
36.26,4000
36.42,4000
36.58,4000
36.74,4000
36.90,4000
37.05,6000
37.21,6000
37.38,6000
37.54,6000
37.69,6000
37.87,6000
38.03,8000
38.18,8000
38.34,8000
38.50,8000
38.67,8000
38.84,8000
39.01,10000
39.17,10000
39.33,10000
39.49,10000
39.66,10000
39.83,10000
40.01,2000
40.16,2000
40.33,2000
40.48,2000
40.64,2000
40.81,2000
40.96,2000
41.12,4000
41.28,4000
41.44,4000
41.59,4000
41.74,4000
41.90,4000
42.06,6000
42.21,6000
42.37,6000
42.53,6000
42.69,6000
42.87,6000
43.03,8000
43.19,8000
43.35,8000
43.51,8000
43.67,8000
43.82,8000
43.98,8000
44.13,10000
44.29,10000
44.46,10000
44.65,10000
44.81,10000
44.98,2000
45.16,2000
45.32,2000
45.49,2000
45.65,2000
45.82,2000
45.98,3000
46.14,4000
46.30,4000
46.47,4000
46.63,4000
46.79,4000
46.95,4000
47.12,6000
47.28,6000
47.43,6000
47.59,6000
47.74,6000
47.90,6000
48.05,8000
48.21,8000
48.37,8000
48.53,8000
48.68,8000
48.84,8000
48.99,10000
49.15,10000
49.31,10000
49.47,10000
49.63,10000
49.79,10000
49.95,10000
50.10,2000
50.26,2000
50.44,2000
50.60,2000
50.77,2000
50.93,2000
51.09,4000
51.25,4000
51.40,4000
51.56,4000
51.72,4000
51.88,4000
52.04,6000
52.19,6000
52.35,6000
52.51,6000
52.67,6000
52.83,6000
52.99,8000
53.16,8000
53.31,8000
53.47,8000
53.63,8000
53.80,8000
53.96,8000
54.11,10000
54.27,10000
54.42,10000
54.58,10000
54.73,10000
54.90,10000
55.06,2000
55.21,2000
55.36,2000
55.53,2000
55.68,2000
55.84,2000
55.99,4000
56.15,4000
56.32,4000
56.47,4000
56.64,4000
56.79,4000
56.95,4000
57.10,6000
57.25,6000
57.40,6000
57.57,6000
57.72,6000
57.87,6000
58.03,8000
58.18,8000
58.33,8000
58.49,8000
58.64,8000
58.80,8000
58.97,8000
59.13,10000
59.30,10000
59.46,10000
59.61,10000
59.77,10000
59.93,10000
60.10,2000
60.25,2000
60.42,2000
60.58,2000
60.74,2000
60.90,2000
61.06,4000
61.22,4000
61.38,4000
61.55,4000
61.71,4000
61.89,4000
62.04,6000
62.22,6000
62.38,6000
62.56,6000
62.73,6000
62.89,6000
63.06,8000
63.22,8000
63.38,8000
63.55,8000
63.73,8000
63.90,8000
64.07,10000
64.23,10000
64.40,10000
64.56,10000
64.72,10000
64.88,10000
65.05,2000
65.21,2000
65.37,2000
65.55,2000
65.72,2000
65.87,2000
66.03,4000
66.18,4000
66.36,4000
66.53,4000
66.68,4000
66.85,4000
67.01,6000
67.18,6000
67.33,6000
67.49,6000
67.66,6000
67.82,6000
67.97,6000
68.13,8000
68.29,8000
68.44,8000
68.60,8000
68.76,8000
68.91,8000
69.08,10000
69.23,10000
69.38,10000
69.54,10000
69.70,10000
69.85,10000
70.00,2000
70.15,2000
70.30,2000
70.45,2000
70.61,2000
70.76,2000
70.91,2000
71.08,4000
71.24,4000
71.39,4000
71.55,4000
71.71,4000
71.87,4000
72.02,6000
72.16,6000
72.32,6000
72.47,6000
72.65,6000
72.80,6000
72.95,6000
73.10,8000
73.25,8000
73.41,8000
73.57,8000
73.72,8000
73.87,8000
74.03,10000
74.17,10000
74.32,10000
74.47,10000
74.63,10000
74.78,10000
74.93,10000
75.08,2000
75.25,2000
75.41,2000
75.57,2000
75.73,2000
75.88,2000
76.04,4000
76.20,4000
76.37,4000
76.53,4000
76.70,4000
76.87,4000
77.04,6000
77.20,6000
77.38,6000
77.54,6000
77.70,6000
77.87,6000
78.03,8000
78.19,8000
78.35,8000
78.52,8000
78.68,8000
78.85,8000
79.03,10000
79.19,10000
79.35,10000
79.53,10000
79.68,10000
79.85,10000
80.01,2000
80.16,2000
80.32,2000
80.49,2000
80.65,2000
80.82,2000
80.98,3000
81.14,4000
81.30,4000
81.46,4000
81.63,4000
81.79,4000
81.96,4000
82.12,6000
82.28,6000
82.44,6000
82.60,6000
82.76,6000
82.92,6000
83.08,8000
83.24,8000
83.40,8000
83.56,8000
83.72,8000
83.88,8000
84.04,10000
84.20,10000
84.36,10000
84.52,10000
84.67,10000
84.83,10000
84.99,2000
85.14,2000
85.30,2000
85.46,2000
85.62,2000
85.77,2000
85.93,2000
86.08,4000
86.25,4000
86.41,4000
86.56,4000
86.72,4000
86.88,4000
87.03,6000
87.18,6000
87.35,6000
87.51,6000
87.69,6000
87.84,6000
88.00,8000
88.15,8000
88.31,8000
88.47,8000
88.64,8000
88.81,8000
88.97,10000
89.14,10000
89.31,10000
89.46,10000
89.62,10000
89.78,10000
89.96,10000
90.12,2000
90.28,2000
90.45,2000
90.60,2000
90.76,2000
90.92,2000
91.08,4000
91.25,4000
91.43,4000
91.61,4000
91.78,4000
91.94,4000
92.10,6000
92.25,6000
92.41,6000
92.57,6000
92.73,6000
92.88,6000
93.04,8000
93.19,8000
93.36,8000
93.51,8000
93.68,8000
93.84,8000
94.00,10000
94.15,10000
94.29,10000
94.44,10000
94.60,10000
94.75,10000
94.91,10000
95.06,2000
95.20,2000
95.35,2000
95.50,2000
95.65,2000
95.80,2000
95.95,2000
96.10,4000
96.24,4000
96.39,4000
96.55,4000
96.70,4000
96.87,4000
97.02,6000
97.16,6000
97.31,6000
97.47,6000
97.63,6000
97.78,6000
97.94,6000
98.10,8000
98.26,8000
98.41,8000
98.58,8000
98.75,8000
98.91,8000
99.08,10000
99.24,10000
99.40,10000
99.56,10000
99.72,10000
99.88,10000
100.04,2000
100.20,2000
100.36,2000
100.52,2000
100.69,2000
100.85,2000
101.02,4000
101.18,4000
101.34,4000
101.50,4000
101.66,4000
101.82,4000
101.99,6000
102.16,6000
102.34,6000
102.50,6000
102.66,6000
102.82,6000
102.97,6000
103.13,8000
103.29,8000
103.45,8000
103.63,8000
103.78,8000
103.94,8000
104.10,10000
104.25,10000
104.41,10000
104.57,10000
104.73,10000
104.89,10000
105.04,2000
105.20,2000
105.36,2000
105.52,2000
105.69,2000
105.85,2000
106.01,4000
106.17,4000
106.33,4000
106.48,4000
106.64,4000
