elapsed,lag
0.39,40000
0.53,40000
0.68,40000
0.82,40000
0.96,40000
1.12,60000
1.27,60000
1.42,60000
1.57,60000
1.72,60000
1.87,60000
2.03,80000
2.18,80000
2.33,80000
2.48,80000
2.63,80000
2.79,80000
2.94,80000
3.11,100000
3.27,100000
3.42,100000
3.59,100000
3.74,100000
3.91,100000
4.06,120000
4.21,120000
4.36,120000
4.51,120000
4.67,120000
4.83,120000
4.99,121000
5.14,140000
5.29,140000
5.43,11500
5.59,11500
5.74,11500
5.89,11500
6.04,31500
6.19,31500
6.35,31500
6.50,31500
6.65,31500
6.82,31500
6.98,33500
7.13,51500
7.28,51500
7.44,51500
7.60,51500
7.75,51500
7.91,51500
8.06,71500
8.21,71500
8.36,71500
8.51,71500
8.67,71500
8.83,71500
8.98,71500
9.13,91500
9.28,91500
9.44,91500
9.59,91500
9.75,91500
9.91,91500
10.07,111500
10.22,111500
10.39,12000
10.56,12000
10.72,12000
10.88,12000
11.03,32000
11.18,32000
11.33,32000
11.50,32000
11.67,32000
11.82,32000
11.97,32000
12.12,52000
12.28,52000
12.45,52000
12.61,52000
12.77,52000
12.92,52000
13.07,72000
13.23,72000
13.39,72000
13.54,72000
13.69,72000
13.85,72000
14.01,85000
14.16,92000
14.32,92000
14.47,92000
14.63,92000
14.79,92000
14.95,92000
15.10,112000
15.26,112000
15.41,11500
15.57,11500
15.73,11500
15.90,11500
16.06,31500
16.21,31500
16.36,31500
16.51,31500
16.67,31500
16.82,31500
16.98,31500
17.13,51500
17.29,51500
17.44,51500
17.60,51500
17.76,51500
17.92,51500
18.07,71500
18.22,71500
18.39,71500
18.53,71500
18.69,71500
18.84,71500
19.00,85500
19.16,91500
19.31,91500
19.48,91500
19.64,91500
19.79,91500
19.94,91500
20.09,111500
20.25,111500
20.40,11500
20.56,11500
20.71,11500
20.86,11500
21.01,28500
21.16,31500
21.31,31500
21.47,31500
21.62,31500
21.78,31500
21.93,31500
22.09,51500
22.23,51500
22.39,51500
22.54,51500
22.69,51500
22.84,51500
22.99,57500
23.14,71500
23.28,71500
23.43,71500
23.59,71500
23.74,71500
23.89,71500
24.05,91500
24.21,91500
24.37,91500
24.52,91500
24.68,91500
24.83,91500
24.99,96500
25.14,111500
25.29,111500
25.44,11500
25.59,11500
25.74,11500
25.89,11500
26.05,31500
26.21,31500
26.36,31500
26.51,31500
26.66,31500
26.81,31500
26.96,31500
27.12,51500
27.26,51500
27.41,51500
27.56,51500
27.71,51500
27.86,51500
28.01,62500
28.16,71500
28.32,71500
28.47,71500
28.62,71500
28.77,71500
28.92,71500
29.07,91500
29.22,91500
29.37,91500
29.52,91500
29.68,91500
29.83,91500
29.99,92500
30.14,111500
30.28,111500
30.43,10000
30.58,10000
30.73,10000
30.90,10000
31.05,30000
31.20,30000
31.35,30000
31.50,30000
31.65,30000
31.81,30000
31.97,30000
32.12,50000
32.28,50000
32.43,50000
32.58,50000
32.75,50000
32.91,50000
33.06,70000
33.21,70000
33.36,70000
33.51,70000
33.66,70000
33.83,70000
33.99,75000
34.15,90000
34.29,90000
34.45,90000
34.60,90000
34.75,90000
34.90,90000
35.06,110000
35.21,110000
35.37,110000
35.52,11000
35.69,11000
35.85,11000
36.02,31000
36.18,31000
36.33,31000
36.50,31000
36.66,31000
36.81,31000
36.98,34000
37.13,51000
37.28,51000
37.44,51000
37.59,51000
37.74,51000
37.90,51000
38.05,71000
38.20,71000
38.35,71000
38.51,71000
38.66,71000
38.81,71000
38.97,71000
39.12,91000
39.28,91000
39.43,91000
39.58,91000
39.73,91000
39.90,91000
40.05,111000
40.19,111000
40.36,111000
40.51,11000
40.65,11000
40.80,11000
40.95,11000
41.12,31000
41.27,31000
41.42,31000
41.56,31000
41.72,31000
41.87,31000
42.02,47000
42.17,51000
42.31,51000
42.46,51000
42.63,51000
42.78,51000
42.93,51000
43.08,71000
43.23,71000
43.38,71000
43.53,71000
43.68,71000
43.83,71000
43.98,71000
44.13,91000
44.28,91000
44.43,91000
44.58,91000
44.73,91000
44.90,91000
45.06,111000
45.20,111000
45.35,111000
45.51,10500
45.66,10500
45.83,10500
46.00,17500
46.15,30500
46.30,30500
46.44,30500
46.60,30500
46.75,30500
46.90,30500
47.05,50500
47.20,50500
47.36,50500
47.51,50500
47.67,50500
47.84,50500
47.99,54500
48.14,70500
48.29,70500
48.45,70500
48.60,70500
48.75,70500
48.91,70500
49.06,90500
49.21,90500
49.36,90500
49.51,90500
49.66,90500
49.82,90500
49.97,91500
50.13,110500
50.27,110500
50.43,110500
50.58,11500
50.73,11500
50.89,11500
51.04,31500
51.20,31500
51.35,31500
51.49,31500
51.66,31500
51.81,31500
51.96,31500
52.11,51500
52.27,51500
52.42,51500
52.57,51500
52.72,51500
52.88,51500
53.04,71500
53.19,71500
53.34,71500
53.49,71500
53.64,71500
53.79,71500
53.95,71500
54.10,91500
54.27,91500
54.42,91500
54.57,91500
54.73,91500
54.89,91500
55.04,111500
55.19,111500
55.34,111500
55.49,9500
55.65,9500
55.81,9500
55.96,9500
56.11,29500
56.26,29500
56.41,29500
56.56,29500
56.71,29500
56.87,29500
57.03,49500
57.18,49500
57.33,49500
57.48,49500
57.64,49500
57.79,49500
57.94,49500
58.09,69500
58.24,69500
58.39,69500
58.56,69500
58.72,69500
58.87,69500
59.02,88500
59.17,89500
59.32,89500
59.48,89500
59.63,89500
59.78,89500
59.94,89500
60.09,109500
60.24,109500
60.40,109500
60.55,9500
60.70,9500
60.86,9500
61.02,29500
61.18,29500
61.33,29500
61.48,29500
61.63,29500
61.79,29500
61.94,29500
62.10,49500
62.25,49500
62.41,49500
62.56,49500
62.73,49500
62.89,49500
63.04,69500
63.19,69500
63.34,69500
63.49,69500
63.64,69500
63.80,69500
63.95,69500
64.10,89500
64.25,89500
64.41,89500
64.56,89500
64.72,89500
64.88,89500
65.04,109500
65.19,109500
65.34,109500
65.50,10000
65.66,10000
65.81,10000
65.97,12000
66.13,30000
66.28,30000
66.43,30000
66.58,30000
66.73,30000
66.89,30000
67.04,50000
67.20,50000
67.35,50000
67.50,50000
67.65,50000
67.80,50000
67.95,50000
68.10,70000
68.24,70000
68.40,70000
68.55,70000
68.70,70000
68.86,70000
69.01,83000
69.16,90000
69.31,90000
69.46,90000
69.61,90000
69.76,90000
69.91,90000
70.06,110000
70.21,110000
70.36,110000
70.51,9500
70.66,9500
70.82,9500
70.98,10500
71.13,29500
71.29,29500
71.44,29500
71.60,29500
71.75,29500
71.90,29500
72.05,49500
72.21,49500
72.36,49500
72.51,49500
72.67,49500
72.82,49500
72.98,49500
73.13,69500
73.28,69500
73.43,69500
73.58,69500
73.75,69500
73.90,69500
74.05,89500
74.21,89500
74.38,89500
74.53,89500
74.70,89500
74.85,89500
75.01,109500
75.17,109500
75.34,109500
75.50,10000
75.66,10000
75.82,10000
75.97,11000
76.12,30000
76.28,30000
76.43,30000
76.58,30000
76.75,30000
76.92,30000
77.08,50000
77.24,50000
77.40,50000
77.54,50000
77.70,50000
77.86,50000
78.03,70000
78.19,70000
78.35,70000
78.50,70000
78.65,70000
78.82,70000
78.98,77000
79.15,90000
79.30,90000
79.45,90000
79.60,90000
79.75,90000
79.91,90000
80.06,110000
80.21,110000
80.37,110000
80.54,9000
80.70,9000
80.86,9000
81.01,22000
81.16,29000
81.31,29000
81.46,29000
81.61,29000
81.76,29000
81.92,29000
82.07,49000
82.23,49000
82.38,49000
82.52,49000
82.67,49000
82.83,49000
82.98,49000
83.13,69000
83.28,69000
83.43,69000
83.60,69000
83.75,69000
83.90,69000
84.05,89000
84.20,89000
84.36,89000
84.52,89000
84.67,89000
84.82,89000
84.97,89000
85.13,109000
85.28,109000
85.43,109000
85.58,9000
85.73,9000
85.89,9000
86.04,29000
86.20,29000
86.36,29000
86.51,29000
86.66,29000
86.83,29000
86.98,29000
87.13,49000
87.30,49000
87.46,49000
87.63,49000
87.80,49000
87.95,51000
88.13,69000
88.29,69000
88.45,69000
88.62,69000
88.79,69000
88.96,69000
89.11,89000
89.27,89000
89.43,89000
89.58,89000
89.75,89000
